last_name, first_name,year,p_formatted_ip,p_total_hits,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,p_earned_run,p_run,p_balk,
Stroman, Marcus,2017,201.0,201,164,62,19.7,7.4,.264,.392,.323,.128,69,82,1,
Scherzer, Max,2017,200.2,126,268,55,34.4,7.1,.178,.319,.246,.141,56,62,0,
Samardzija, Jeff,2017,207.2,204,205,32,24.2,3.8,.255,.447,.286,.192,102,107,0,
Sale, Chris,2017,214.1,165,308,43,36.2,5.1,.208,.349,.254,.141,69,73,0,
Roark, Tanner,2017,181.1,178,166,64,21.4,8.2,.254,.408,.320,.154,94,105,1,
Lynn, Lance,2017,186.1,151,153,78,19.7,10.1,.223,.395,.308,.172,71,80,0,
Lackey, John,2017,170.2,165,149,53,20.4,7.3,.252,.469,.315,.217,87,93,2,
Estrada, Marco,2017,186.0,186,176,71,21.8,8.8,.256,.463,.321,.207,103,104,0,
Wacha, Michael,2017,165.2,170,158,55,22.5,7.8,.267,.409,.325,.142,76,82,0,
Quintana, Jose,2017,188.2,170,207,61,26.2,7.7,.238,.396,.305,.158,87,92,1,
Moore, Matt,2017,174.1,200,148,67,18.7,8.5,.283,.486,.347,.203,107,116,0,
Martinez, Carlos,2017,205.0,179,217,71,25.3,8.3,.232,.391,.301,.159,83,93,0,
Greinke, Zack,2017,202.1,172,215,45,26.8,5.6,.230,.387,.271,.157,72,80,0,
Gausman, Kevin,2017,186.2,208,179,71,21.9,8.7,.283,.459,.348,.176,97,99,1,
Fulmer, Michael,2017,164.2,150,114,40,16.9,5.9,.243,.350,.293,.107,70,80,1,
deGrom, Jacob,2017,201.1,180,239,59,28.9,7.1,.237,.389,.291,.152,79,87,0,
Verlander, Justin,2017,206.0,170,219,72,25.8,8.5,.221,.370,.290,.149,77,80,0,
Richard, Clayton,2017,197.1,240,151,59,17.6,6.9,.308,.482,.358,.174,105,114,1,
Nolasco, Ricky,2017,181.0,205,143,58,18.2,7.4,.286,.508,.338,.222,99,102,0,
Darvish, Yu,2017,186.2,159,209,58,27.3,7.6,.228,.397,.291,.169,80,83,1,
Blach, Ty,2017,163.2,179,73,43,10.5,6.2,.283,.439,.322,.156,87,91,0,
Vargas, Jason,2017,179.2,181,134,58,17.7,7.7,.264,.442,.323,.178,83,84,1,
Pomeranz, Drew,2017,173.2,166,174,69,23.5,9.3,.252,.388,.323,.136,64,69,0,
Perdomo, Luis,2017,163.2,182,118,65,16.5,9.1,.285,.426,.356,.141,85,97,2,
Nola, Aaron,2017,168.0,154,184,49,26.6,7.1,.241,.383,.296,.142,66,67,0,
Lester, Jon,2017,180.2,179,180,60,23.6,7.9,.259,.430,.318,.171,87,101,0,
Hellickson, Jeremy,2017,164.0,160,96,47,13.8,6.8,.255,.497,.309,.242,99,105,1,
